congressionaldistrict,cty_fips,czone,dhs2_tot_cont_2002_2010,dhs2_cont_tcile1_2002_2004,dhs2_cont_tcile1_2002_2006,dhs2_cont_tcile1_2002_2008,dhs2_cont_tcile1_2002_2010,dhs2_cont_tcile1_2002_2012,dhs2_cont_tcile1_2002_2014,dhs2_cont_tcile1_2002_2016,dhs2_cont_tcile2_2002_2004,dhs2_cont_tcile2_2002_2006,dhs2_cont_tcile2_2002_2008,dhs2_cont_tcile2_2002_2010,dhs2_cont_tcile2_2002_2012,dhs2_cont_tcile2_2002_2014,dhs2_cont_tcile2_2002_2016,dhs2_cont_tcile3_2002_2004,dhs2_cont_tcile3_2002_2006,dhs2_cont_tcile3_2002_2008,dhs2_cont_tcile3_2002_2010,dhs2_cont_tcile3_2002_2012,dhs2_cont_tcile3_2002_2014,dhs2_cont_tcile3_2002_2016,d2_turnout_2002_2010,d2_shnr_2002_2004,d2_shnr_2002_2006,d2_shnr_2002_2008,d2_shnr_2002_2010,d2_shnr_2002_2012,d2_shnr_2002_2014,d2_shnr_2002_2016,d2_shnr_distr_2002_2010,d2_shnr_solidd_2002_2010,d2_shnr_solidr_2002_2010,d2_shnr_competitive_2002_2010,d2_rwin_2002_2004,d2_rwin_2002_2006,d2_rwin_2002_2008,d2_rwin_2002_2010,d2_rwin_2002_2012,d2_rwin_2002_2014,d2_rwin_2002_2016,d2_cfavg_demlib_2002_2004,d2_cfavg_demlib_2002_2006,d2_cfavg_demlib_2002_2008,d2_cfavg_demlib_2002_2010,d2_cfavg_demlib_2002_2012,d2_cfavg_demlib_2002_2014,d2_cfavg_demlib_2002_2016,d2_cfavg_demmod_2002_2004,d2_cfavg_demmod_2002_2006,d2_cfavg_demmod_2002_2008,d2_cfavg_demmod_2002_2010,d2_cfavg_demmod_2002_2012,d2_cfavg_demmod_2002_2014,d2_cfavg_demmod_2002_2016,d2_cfavg_repmod_2002_2004,d2_cfavg_repmod_2002_2006,d2_cfavg_repmod_2002_2008,d2_cfavg_repmod_2002_2010,d2_cfavg_repmod_2002_2012,d2_cfavg_repmod_2002_2014,d2_cfavg_repmod_2002_2016,d2_cfavg_repcon_2002_2004,d2_cfavg_repcon_2002_2006,d2_cfavg_repcon_2002_2008,d2_cfavg_repcon_2002_2010,d2_cfavg_repcon_2002_2012,d2_cfavg_repcon_2002_2014,d2_cfavg_repcon_2002_2016,d2_nominate_demlib_2002_2010,d2_nominate_demmod_2002_2010,d2_nominate_repmod_2002_2010,d2_nominate_repcon_2002_2010,d2_teaparty_2002_2010,d_party_2002_2004,d_party_2004_2006,d_party_2006_2008,d_party_2008_2010,d_party_2010_2012,d_party_2012_2014,d_party_2014_2016,d_imp_usch_pd,d_imp_otch_lag_pd,reg_midatl,reg_encen,reg_wncen,reg_satl,reg_escen,reg_wscen,reg_mount,reg_pacif,l_shind_manuf_cbp,l_sh_routine33,l_task_outsource,shnr_pres2000,shnr_pres1996,l_sh_pop_f,l_sh_pop_edu_c,l_sh_fborn,l_sh_pop_age_1019,l_sh_pop_age_2029,l_sh_pop_age_3039,l_sh_pop_age_4049,l_sh_pop_age_5059,l_sh_pop_age_6069,l_sh_pop_age_7079,l_sh_pop_age_8000,l_sh_pop_white,l_sh_pop_black,l_sh_pop_asian,l_sh_pop_hispanic,sh_district_2002,majority_white,redistrict_2004,redistrict_2006,redistrict_2012,redistrict_2016
AL 6,1021,10700,55.123287,51.724327,62.022858,6.3881307,110.32405,110.32405,36.654449,-200,21.738234,34.72673,25.310242,33.271778,33.271778,-200,-200,64.987488,96.117279,66.784042,75.815132,75.815132,140.61888,-200,-.0053381026,0,0,0,0,0,7.0545554,8.2827091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2546471894159703,.6757723204218671,0,0,0,0,1,0,0,0,.13256846,32.234402,-.14603272,.67688251,.59634018,.50544286,.30426222,.018866971,.14159068,.13492285,.14406587,.14479832,.11896043,.086580962,.057560679,.030788271,.86707246,.10607935,.0018185033,.029096052,.061333507,1,0,0,1,0
AL 7,1023,10802,19.002625,-122.79302,-116.56464,-88.411934,43.797661,43.797661,54.82114,28.73559,-54.086697,-63.811409,10.107271,-15.894942,-15.894942,-21.509556,-7.4566379,31.143251,-35.254486,32.028591,5.0709829,5.0709829,-87.575874,-55.265354,.31347904,35.282906,0,0,43.918919,43.918919,1.7314196,1.7314196,27.515299,43.918919,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.6016423847940811,1.561980242533792,0,0,0,0,1,0,0,0,.35008153,27.402496,-.78663242,.49268341,.39165157,.52964449,.30229917,.0055269441,.14847381,.11468408,.1291295,.14175355,.13069966,.094272077,.066951387,.037306871,.55137545,.44133902,.00043964325,.0067202612,.025165271,1,0,0,1,0
AL 1,1025,11001,-117.70763,-55.915798,-158.0061,-61.924953,-81.853912,-81.853912,1.979152,-200,-79.201859,-131.27968,-131.0818,-124.61362,-124.61362,-134.13666,-134.40416,-103.94389,-113.72478,-132.21167,-116.51646,-116.51643,-113.04662,-165.38463,.089296669,4.8737288,8.1816082,38.481503,38.481503,38.481503,18.839062,29.357719,38.44165,0,38.481503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,0,.39334378,0,0,.4650027912237285,1.144130031793068,0,0,0,0,1,0,0,0,.1506284,28.370228,-.65440798,.56133455,.49757996,.52703917,.33160096,.0053468258,.15620627,.11809667,.13772562,.13998637,.11292927,.086733416,.057451464,.037535436,.55940717,.43022212,.0016148132,.0064592529,.022308255,1,0,0,1,0
AL 7,1025,11001,19.002625,-122.79302,-116.56464,-88.411934,43.797661,43.797661,54.802174,28.767458,-54.086697,-63.811409,10.107271,-15.894942,-15.894942,-21.512144,-7.5016828,31.143251,-35.254486,32.028591,5.0709829,5.0709829,-87.000381,-56.325584,.089296669,35.076027,0,0,37.341236,37.341236,-5.3207817,-5.3668694,27.515299,37.341236,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0019480586,0,0,.4650027912237285,1.144130031793068,0,0,0,0,1,0,0,0,.1506284,28.370228,-.65440798,.56133455,.49757996,.52703917,.33160096,.0053468258,.15620627,.11809667,.13772562,.13998637,.11292927,.086733416,.057451464,.037535436,.55940717,.43022212,.0016148132,.0064592529,.020649031,1,0,0,1,0
AL 3,1027,9500,-65.813004,-84.071823,-185.25688,-34.923306,-75.545624,-75.545624,-98.868027,-98.16468,-12.021504,-66.04689,23.803648,-42.008091,-42.008091,-106.68721,-115.14009,-7.9156051,-65.178833,-58.123219,-72.010941,-72.010941,-93.206429,-101.23463,.054816782,10.057789,10.252923,2.2227049,10.111934,10.111934,14.148277,16.503841,8.4113007,0,0,10.111934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.231121287088252,2.696781938152649,0,0,0,0,1,0,0,0,.32613847,29.975349,-.51046491,.64523375,.53875279,.51227725,.28207231,.0089097796,.13722464,.1184229,.13771573,.13897853,.12256209,.098568819,.071699172,.048688088,.82615405,.15700856,.00098218047,.017749405,.022678422,1,0,0,1,0
AL 3,1029,9600,-65.813004,-84.071823,-185.25688,-34.923306,-75.545624,-75.545624,-98.868027,-98.16468,-12.021504,-66.04689,23.803648,-42.008091,-42.008091,-106.68721,-115.14009,-7.9156051,-65.178833,-58.123219,-72.010941,-72.010941,-93.206429,-101.23463,.15065444,12.994087,12.017048,6.3398657,15.199984,15.199984,16.696327,18.641424,8.4113007,0,0,15.199984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.564123632261222,2.717089601414358,0,0,0,0,1,0,0,0,.32883412,31.02747,-.54100108,.66700631,.54285717,.50173473,.27063882,.0094172629,.13793103,.12022942,.14947249,.14317071,.1299299,.094880693,.05820293,.034199532,.94739079,.037031792,.0014161298,.014019684,.02232541,1,0,0,1,0
AL 2,1031,10302,168.77229,71.363838,133.71602,199.61758,199.6543,199.6543,199.65126,199.65305,24.796967,45.723888,129.89957,131.39278,131.39278,93.766685,98.798317,46.655842,29.21312,174.53754,164.2962,164.2962,148.03569,149.51611,.076126158,3.5732269,.86190701,-17.619938,-19.562632,-19.562632,-14.567905,-29.101902,-18.864763,0,0,-19.562632,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,100,100,0,0,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,1,1,0,0,0,1.172408371800403,2.145300966216814,0,0,0,0,1,0,0,0,.22303851,28.461996,-1.0411412,.65563589,.60161537,.51156712,.46941319,.026550498,.14442278,.12860255,.13786541,.14740342,.12284765,.089556344,.064863004,.034552332,.77108794,.1837212,.0094921468,.027123695,.069378741,1,0,0,1,0
AL 5,1033,6200,98.194023,-35.546677,42.44305,163.59549,117.5863,117.5863,116.39043,116.31379,-51.535267,-53.134178,85.518494,65.079445,65.079445,48.381855,49.956375,-.043816496,5.4282598,157.38676,131.41934,131.41934,115.47478,120.53748,.036177278,4.2692318,-24.521301,16.937281,26.22925,26.22925,67.413002,67.413002,32.720116,0,0,26.22925,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,-100,0,100,100,0,0,0,1,0,0,0,1.290500231800222,2.162475956125446,0,0,0,0,1,0,0,0,.31899247,29.809921,-.66157573,.49943769,.44819647,.52147901,.39447358,.008820748,.13422087,.11747054,.1391132,.14769751,.12736432,.094572969,.071693584,.038993161,.81523716,.16617562,.0023825113,.011239633,.087832332,1,0,0,1,0
AL 2,1035,11002,168.77229,71.363838,133.71602,199.61758,199.6543,199.6543,199.65126,199.65305,24.796967,45.723888,129.89957,131.39278,131.39278,93.766685,98.798317,46.655842,29.21312,174.53754,164.2962,164.2962,148.03569,149.51611,.090729773,5.0762892,1.5173972,-13.429189,-11.943975,-11.943975,-8.5899773,-10.766161,-18.864763,0,0,-11.943975,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,100,100,0,0,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,1,1,0,0,0,.8850058727289003,2.168076155065489,0,0,0,0,1,0,0,0,.32067975,26.412863,-.77466851,.49230456,.41895288,.52679396,.29555798,.0038327773,.14663923,.11406062,.12924977,.14188375,.12548797,.08936049,.074029386,.041024912,.55404925,.43551707,.0011356378,.0072396905,.022078803,1,0,0,1,0
AL 6,1037,9500,55.123287,51.724327,62.022858,6.3881307,110.32405,110.32405,36.654449,-200,21.738234,34.72673,25.310242,33.271778,33.271778,-200,-200,64.987488,96.117279,66.784042,75.815132,75.815132,140.61888,-200,.03527987,0,0,0,0,0,4.5596066,10.214334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.231121287088252,2.696781938152649,0,0,0,0,1,0,0,0,.32613847,29.975349,-.51046491,.53099865,.44795698,.48926407,.27377349,.0031961973,.13653499,.12293067,.14891002,.15022127,.12088183,.092525817,.067693822,.032781512,.6394034,.34191117,.00040976889,.012948697,.0051833773,1,0,0,1,0
